name, endpoint
"FT5EAS","http://gbrpmseasf41.corp.internal:8180/application-status-monitor/rest/applicationstatusmonitor/status.json"
"bgrblahblah2","http://localhost:3002/legquery"
"bgrblahblah3","http://localhost:3003/legquery"
"bgrblahblahA","http://localhost:3001/legquery"
"bgrblahblahB","http://localhost:3002/legquery"
"bgrblahblahC","http://localhost:3003/legquery"
"FT1 Y leg UIS LB","http://10.141.129.247:8858/application-status-monitor/rest/applicationstatusmonitor/status.json"
"FT1 Y leg EAS LB","http://10.141.129.248:8858/application-status-monitor/rest/applicationstatusmonitor/status.json"
"FT1 UIS 01","http://gbrpmsuisf01.corp.internal:8180/application-status-monitor/rest/applicationstatusmonitor/status.json"
"FT1 UIS 02","http://gbrpmsuisf02.corp.internal:8180/application-status-monitor/rest/applicationstatusmonitor/status.json"
"FT1 EAS 01","http://gbrpmseasf01.corp.internal:8180/application-status-monitor/rest/applicationstatusmonitor/status.json"
"FT1 EAS 02","http://gbrpmseasf02.corp.internal:8180/application-status-monitor/rest/applicationstatusmonitor/status.json"
